ICD10CDX VALUE,ICD10CDX LABEL,UNWEIGHTED,WEIGHTED BY perwt19f
-15,CANNOT BE COMPUTED,4748,54495002.23
A04,OTHER BACTERIAL INTESTINAL INFECTIONS,32,385558.16
A08,VIRAL AND OTHER SPECIFIED INTEST INFECT,159,1815379.04
A09,"INFECT GASTROENTERIT AND COLITIS, UNSPEC",40,479424.01
A41,OTHER SEPSIS,31,350137.08
A49,BACTERIAL INFECTION OF UNSPECIFIED SITE,165,2159827.09
B00,HERPESVIRAL [HERPES SIMPLEX] INFECTIONS,148,1940774.23
B02,ZOSTER [HERPES ZOSTER],113,1352010.08
B07,VIRAL WARTS,99,1301669.21
B08,"OTH VIR INFEC SKIN AND MUC MEMB LES, NEC",28,466236.38
B19,UNSPECIFIED VIRAL HEPATITIS,36,353403.55
B27,INFECTIOUS MONONUCLEOSIS,25,420983.68
B34,VIRAL INFECTION OF UNSPECIFIED SITE,201,2572682.95
B35,DERMATOPHYTOSIS,179,1992399.14
B37,CANDIDIASIS,167,2018717.74
B49,UNSPECIFIED MYCOSIS,47,632524.57
B99,OTHER AND UNSPEC INFECTIOUS DISEASES,118,1241549.75
C18,MALIGNANT NEOPLASM OF COLON,60,626632.56
C34,MALIGNANT NEOPLASM OF BRONCHUS AND LUNG,79,786586.12
C43,MALIGNANT MELANOMA OF SKIN,180,1986083.01
C44,OTHER AND UNSPEC MALIGNANT NEOPLASM SKIN,454,4895398.98
C50,MALIGNANT NEOPLASM OF BREAST,252,2632885.73
C55,"MAL NEO OF UTERUS, PART UNSPECIFIED",24,236957.93
C61,MALIGNANT NEOPLASM OF PROSTATE,182,1816520.64
C64,"MAL NEO KIDNEY, EXCEPT RENAL PELVIS",38,441885.20
C67,MALIGNANT NEOPLASM OF BLADDER,35,307225.71
C73,MALIGNANT NEOPLASM OF THYROID GLAND,61,653166.82
C80,MALIGN NEO W/O SPECIFICATION OF SITE,41,392816.50
C85,OTHER SPEC AND UNSPEC NON-HODGK LYMPHOM,45,447287.63
C95,LEUKEMIA OF UNSPECIFIED CELL TYPE,48,458072.22
D04,CARCINOMA IN SITU OF SKIN,78,936732.45
D17,BENIGN LIPOMATOUS NEOPLASM,26,263010.01
D21,OTH BEN NEO CONNECT AND OTHER SOFT TISS,36,380987.26
D22,MELANOCYTIC NEVI,135,1642563.98
D48,NEO UNCERT BEHAV OTH AND UNSPECI SITES,30,469382.22
D49,NEOPLASMS OF UNSPECIFIED BEHAVIOR,206,2288650.10
D64,OTHER ANEMIAS,198,2083054.58
D68,OTHER COAGULATION DEFECTS,39,415684.19
D75,OTH UNSPEC DIS BLOOD AND BLOOD-FORM ORG,32,301978.93
E03,OTHER HYPOTHYROIDISM,826,9512140.90
E04,OTHER NONTOXIC GOITER,78,935673.19
E05,THYROTOXICOSIS [HYPERTHYROIDISM],122,1316843.14
E06,THYROIDITIS,34,364497.93
E07,OTHER DISORDERS OF THYROID,971,10124825.31
E11,TYPE 2 DIABETES MELLITUS,2547,25118443.17
E28,OVARIAN DYSFUNCTION,55,725757.20
E34,OTHER ENDOCRINE DISORDERS,124,1534342.54
E53,DEFICIENCY OF OTHER B GROUP VITAMINS,90,841399.89
E55,VITAMIN D DEFICIENCY,305,3079955.61
E56,OTHER VITAMIN DEFICIENCIES,33,330724.24
E58,DIETARY CALCIUM DEFICIENCY,20,194616.11
E61,DEFICIENCY OF OTHER NUTRIENT ELEMENTS,128,1163944.35
E66,OVERWEIGHT AND OBESITY,115,1216776.32
E78,DISORD LIPOPROTEIN METAB AND OTH LIPIDEM,4317,44945040.79
E83,DISORDERS OF MINERAL METABOLISM,47,470265.17
E86,VOLUME DEPLETION,92,1070451.59
E87,"OTH DISORD FLUID, ELECTROL ACID-BASE BAL",289,2825254.51
F03,UNSPECIFIED DEMENTIA,95,923083.84
F10,ALCOHOL RELATED DISORDERS,42,504078.38
F17,NICOTINE DEPENDENCE,29,229089.68
F19,OTH PSYCHOACTIVE SUBSTANCE REL DISORDERS,40,411777.49
F20,SCHIZOPHRENIA,70,539482.14
F31,BIPOLAR DISORDER,287,2733708.97
F32,"MAJ DEPRESSIVE DISORDER, SINGLE EPISODE",1944,21771623.43
F34,PERSISTENT MOOD [AFFECTIVE] DISORDERS,33,362656.48
F39,UNSPECIFIED MOOD [AFFECTIVE] DISORDER,104,1206581.55
F40,PHOBIC ANXIETY DISORDERS,23,298410.02
F41,OTHER ANXIETY DISORDERS,2247,26195597.38
F42,OBSESSIVE-COMPULSIVE DISORDER,57,721876.99
F43,"REACTION SEVER STRESS, AND ADJUST DISORD",462,5258324.44
F51,SLEEP DIS NOT DUE TO SUB OR KNOW PHY CON,36,351575.88
F80,SPEC DEVELOP DISORD SPEECH AND LANGUAGE,47,553483.20
F84,PERVASIVE DEVELOPMENTAL DISORDERS,101,1088997.19
F90,ATTENTION-DEFICIT HYPERACTIVITY DISORDER,731,8616384.48
F91,CONDUCT DISORDERS,83,881809.75
F99,"MENTAL DISORDER, NOT OTHERWISE SPECIFIED",103,1115903.22
G20,PARKINSON'S DISEASE,56,624687.24
G25,OTHER EXTRAPYRAMIDAL AND MOVEMENT DISORD,204,2034935.11
G30,ALZHEIMER'S DISEASE,52,538717.28
G35,MULTIPLE SCLEROSIS,73,767190.80
G40,EPILEPSY AND RECURRENT SEIZURES,94,1092386.78
G43,MIGRAINE,525,6143885.50
G44,OTHER HEADACHE SYNDROMES,22,234133.69
G45,TRANSNT CEREB ISCHEM ATTACK AND REL SYND,316,3209589.45
